,host
0,eigmeter-chr-1500chiller-bldg10_dept_lehigh_edu
1,eigmeter-chr-750chiller-bldg10_dept_lehigh_edu
2,eigmeter-farringtonsq-johnnys_res_lehigh_edu
3,eigmeter-farringtonsq-postoffice_res_lehigh_edu
4,eigmeter-farringtonsq-thecup_res_lehigh_edu
5,eigmeter-kappadelta-bldg82_res_lehigh_edu
6,eigmeter-pakerchapel-bldg18_dept_lehigh_edu
7,eigmeter-taylor-bldg68_cc_lehigh_edu
8,eigmeter-taylorhall-bldg68_cc_lehigh_edu
9,eigmeter-tremblya-bldg71_res_lehigh_edu
10,eigmeter-tremblyaf-bldg76_res_lehigh_edu
11,eigmeter-tremblyb-bldg72_res_lehigh_edu
12,eigmeter-tremblyc-bldg73_res_lehigh_edu
13,eigmeter-tremblyd-bldg74_res_lehigh_edu
14,eigmeter-tremblye-bldg75_res_lehigh_edu
15,eigmeter-tremblyg-bldg77_res_lehigh_edu
